trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4, 'e': 0.9130889403123083}",25,0,-119.44216421231336,"{0: 11, 1: 7, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.4, 'e': 0.9089657496748851}",20,0,-101.65980001859108,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
44,False,"{'a': 0.4, 'e': 0.9047516632199635}",20,0,-222.5297640624374,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 5}",0
45,False,"{'a': 0.4, 'e': 0.9004471023526769}",20,0,-66.6639938856545,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.4, 'e': 0.8960524975255253}",35,25,-24.996405176910244,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.4, 'e': 0.8915682881953289}",30,0,-172.22494835774557,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
48,False,"{'a': 0.4, 'e': 0.8869949227792842}",20,0,-116.5368617235767,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
49,False,"{'a': 0.4, 'e': 0.8823328586101216}",20,0,-68.55294996250367,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.8775825618903728}",20,0,-45.008181060945326,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.8727445076457513}",30,0,-170.87637204588574,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
52,False,"{'a': 0.4, 'e': 0.8678191796776499}",25,9,-56.47332747120593,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 1}",1
53,False,"{'a': 0.4, 'e': 0.862807070514761}",20,0,-130.06749576620768,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
54,False,"{'a': 0.4, 'e': 0.8577086813638242}",35,0,-174.42699058979252,"{0: 20, 1: 6, 2: 5, 3: 2, 4: 2}",0
55,False,"{'a': 0.4, 'e': 0.8525245220595057}",35,27,13.951470354631537,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.8472551110134161}",30,6,-117.0496304672207,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 2}",1
57,False,"{'a': 0.4, 'e': 0.8419009751622687}",25,11,-79.4066065401785,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.4, 'e': 0.8364626499151869}",25,0,-85.84120266818253,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.4, 'e': 0.8309406791001634}",25,0,-40.14209296298574,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.4, 'e': 0.8253356149096783}",20,0,-53.680593760833965,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.8196480178454795}",25,0,-87.38699308380873,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.4, 'e': 0.8138784566625339}",25,0,-172.73142010605122,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
63,False,"{'a': 0.4, 'e': 0.8080275083121519}",30,0,-52.913209953463074,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
64,False,"{'a': 0.4, 'e': 0.8020957578842927}",25,0,-125.31323608998895,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
65,False,"{'a': 0.4, 'e': 0.7960837985490559}",25,0,-104.09245813228856,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 0.4, 'e': 0.7899922314973651}",20,0,-56.115226372417034,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
67,False,"{'a': 0.4, 'e': 0.7838216658808492}",30,9,-81.75828248153809,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 1}",1
68,False,"{'a': 0.4, 'e': 0.7775727187509279}",25,13,-53.72757388451746,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
69,False,"{'a': 0.4, 'e': 0.7712460149971065}",20,0,-35.93746955686147,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
70,False,"{'a': 0.4, 'e': 0.7648421872844884}",30,0,-74.36610831778899,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
71,False,"{'a': 0.4, 'e': 0.7583618759905082}",20,11,13.652386088983338,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.751805729140895}",25,0,-95.63358231555617,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
73,False,"{'a': 0.4, 'e': 0.7451744023448704}",20,13,-10.224761869771088,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.7384685587295879}",20,0,-120.85575571536096,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",1
75,False,"{'a': 0.4, 'e': 0.7316888688738209}",20,0,-67.51886199502037,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
76,False,"{'a': 0.4, 'e': 0.7248360107409052}",25,0,-90.23843612157795,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
77,False,"{'a': 0.4, 'e': 0.7179106696109434}",30,15,-29.49407433075873,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.7109135380122773}",25,0,-53.061399660593956,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.4, 'e': 0.7038453156522362}",20,5,-65.05440031392632,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
80,False,"{'a': 0.4, 'e': 0.6967067093471655}",30,0,-84.28835243763083,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.4, 'e': 0.6894984329517471}",20,12,-42.37765261683525,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.4, 'e': 0.6822212072876136}",25,0,-15.437629269053804,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.4, 'e': 0.6748757600712672}",25,10,1.9361308740364143,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.6674628258413082}",20,0,-76.50556517292344,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
85,False,"{'a': 0.4, 'e': 0.6599831458849822}",25,3,-51.41859752331119,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
86,False,"{'a': 0.4, 'e': 0.6524374681640519}",25,12,-48.61603272568646,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
87,False,"{'a': 0.4, 'e': 0.6448265472400012}",30,0,-75.29689939216655,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
